Name;Price;Link
Ecological Appreciation;$ 1.60;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Ecological+Appreciation#paper
Extus, Oriq Overlord;$ 2.47;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Extus+Oriq+Overlord#paper
Galazeth Prismari;$ 8.58;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Galazeth+Prismari#paper
Harness Infinity;$ 1.70;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Harness+Infinity#paper
Hofri Ghostforge;$ 1.66;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Hofri+Ghostforge#paper
Jadzi, Oracle of Arcavios;$ 2.30;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Jadzi+Oracle+of+Arcavios#paper
Kasmina, Enigma Sage;$ 3.49;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Kasmina+Enigma+Sage#paper
Magma Opus;$ 2.30;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Magma+Opus#paper
Mascot Exhibition;$ 0.83;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Mascot+Exhibition#paper
Mavinda, Students' Advocate;$ 1.64;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Mavinda+Students+Advocate#paper
Mila, Crafty Companion;$ 2.60;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Mila+Crafty+Companion#paper
Professor Onyx;$ 11.04;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Professor+Onyx#paper
Rowan, Scholar of Sparks;$ 4.11;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Rowan+Scholar+of+Sparks#paper
Shadrix Silverquill;$ 6.00;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Shadrix+Silverquill#paper
Tanazir Quandrix;$ 3.00;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Tanazir+Quandrix#paper
Velomachus Lorehold;$ 4.49;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Velomachus+Lorehold#paper
Accomplished Alchemist;$ 0.50;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Accomplished+Alchemist#paper
Archmage Emeritus;$ 2.17;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Archmage+Emeritus#paper
Augmenter Pugilist;$ 0.50;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Augmenter+Pugilist#paper
Baleful Mastery;$ 1.38;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Baleful+Mastery#paper
Blade Historian;$ 0.70;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Blade+Historian#paper
Codie, Vociferous Codex;$ 0.50;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Codie+Vociferous+Codex#paper
Conspiracy Theorist;$ 0.52;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Conspiracy+Theorist#paper
Culling Ritual;$ 2.37;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Culling+Ritual#paper
Daemogoth Titan;$ 0.55;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Daemogoth+Titan#paper
Double Major;$ 1.98;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Double+Major#paper
Elite Spellbinder;$ 2.67;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Elite+Spellbinder#paper
Frostboil Snarl;$ 1.80;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Frostboil+Snarl#paper
Furycalm Snarl;$ 1.74;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Furycalm+Snarl#paper
Leonin Lightscribe;$ 0.75;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Leonin+Lightscribe#paper
Necroblossom Snarl;$ 2.35;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Necroblossom+Snarl#paper
Oriq Loremage;$ 0.50;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Oriq+Loremage#paper
Prismari Command;$ 4.00;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Prismari+Command#paper
Quandrix Command;$ 0.65;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Quandrix+Command#paper
Rushed Rebirth;$ 0.96;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Rushed+Rebirth#paper
Sedgemoor Witch;$ 4.37;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Sedgemoor+Witch#paper
Semester's End;$ 0.53;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Semesters+End#paper
Shineshadow Snarl;$ 1.55;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Shineshadow+Snarl#paper
Silverquill Silencer;$ 0.50;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Silverquill+Silencer#paper
Strict Proctor;$ 0.99;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Strict+Proctor#paper
Strixhaven Stadium;$ 0.99;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Strixhaven+Stadium#paper
The Biblioplex;$ 0.83;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/The+Biblioplex#paper
Valentin, Dean of the Vein;$ 1.15;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Valentin+Dean+of+the+Vein#paper
Vanishing Verse;$ 2.22;https://www.mtggoldfish.com//price/Strixhaven+School+of+Mages/Vanishing+Verse#paper
